main	company	header	title	names	text
			Additional Design		
				Mark Halash	
				Jason Ryan	
			Design Special Thanks		
				Ben Hanson	
					
		BUILDMASTERING			
			Build Programmer		
				Jordan Albert	
			Buildmaster		
				Jens Page	
			Buildmaster Special Thanks		
				James Whisenant	
					
		COMMUNITY			
			Community Management Director		
				Diane Migliaccio	
			Community Manager		
				Kurt Stangl	
			Community Representatives		
				Vaughn Garvin	
				Paul Williams	
			Community Special Thanks		
				Jon Hanna	
					
		EVENTS			
			Events Manager		
				Jason Ryan	
			Events Coordinator		
				Mark Halash	
					
			Product Marketing Manager		
				Debysue Wolfcale	
					
			HR Manager - Austin		
				Sheri Davenport	
					
			Administration		
				Rhonda Loeliger	
					
		QUALITY ASSURANCE			
			Vice President of CS & QA		
				George Scotto	
			Director of Quality Assurance		
				Tony Rado	
			Quality Assurance Manager		
				Daniel Wilhite	
			SOE Lead Quality Assurance Analyst		
				Taylor Haley	
			SOE Assistant Lead Quality Assurance Analyst		
				Jesse Benjamin	
				Christine Chugon	
				Jeff Haskell	
				David Jones	
			SOE Quality Assurance Analysts		
				Floyd Billings	
				Chris Deal	
				Jay Dunn	
				Brian Ferguson	
				Deborah Gates	
				Hilee Hattersley	
				Jimmy Lee	
				Keith Pehl	
				Annette Rogers	
				Scott Snopel	
				Howard Tang	
			International Quality Assurance Liaison		
				Ryan Wells	
			Compatibility Lab Lead		
				Ryan Antonelli	
			Compatibility Lab		
				Gary Binkley	
				Jorge d'Argence	
				Chris Johnson	
			Executive Director, In-Game Support		
				Scott Mattson	
			Director, Customer Service		
				Thomas Terrazas	
			Technical Support Customer Service Manager		
				Victor Ramirez	
			Star Wars Galaxies In-Game Support Manager		
				Satao Minami	
					
		PLATFORM SERVICES			
			Vice President of Technology		
				Chris Yates	
			Director of Platform Engineering		
				David Dhunjishaw	
			Project Management		
				Wayne Kao	
				Jenne McPherson	
				Bonnie Davison	
			Manager of Applications Engineering		
				Mick Giles	
			Application Engineering Team		
				Pierce Courtney	
				Devon Kim	
				Duy Le	
				Grant Olson	
				David Keene	
				Jason Parrott	
				Michael W. Tucker II	
				John Van Roekel	
			Manager of Systems Engineering		
				Thomas Farthing	
			Systems Engineering Team		
				Dan Gorman	
				Ron Grierson	
				Pablo Herrero	
				Graeme Ing	
				Jeff Jones	
				Bob Kline	
				Tavis Margers	
				Patrick McCuller	
				Jose Rodriguez	
				Chris Rosa	
				Rick Smith	
				Casey Winn	
			Manager of Quality Assurance		
				Enrico Bernardo	
			Quality Assurance Team		
				Benjamin Babeshkin	
				David Bennett	
				Jesse Farrell	
				Carl Flaherty	
				Thanh Nguyen	
				Bethany Rockey	
				Vien Truong	
					
			Creative Director, Web Presence		
				Nathan Pearce	
			Director of Operations, Web Presence		
				Greg Short	
			Creative Designer		
				Eric Schmitter	
			Project Manager		
				Steve Fuller	
			Content Team		
				Elliot Feldman	
				Adam Stevens	
			Web Production Team		
				Travis Ball	
				Tim Cox	
				Nick Davison	
				Tim Dunn	
				Monte Green	
				Dan Jones	
				Jacob Robinson	
				Paul Tighe	
			Director of Database Services		
				Deepak Thapliyal	
			Database Services Team		
				Archana Pansuria	
				John McGovern	
				Aaron Valdes	
				David Green	
				Natik Ameen	
				Taylor Steil	
				Stefan Ward	
			Station Store Management		
				Bonnie Davison	
					
		INTERNATIONAL OPERATIONS			
			Director of International Operations		
				Matt Sivertson	
			Project Management		
				Stacey Sofia-McDaniel	
				David Kim	
			Technical Manager		
				Robert McEntee	
			Engineering Team		
				Jason Polk	
				Devon Kim	
				Stacy Griebel	
				Chris Lee	
				Katty Bashir	
				Lina Liang	
				Bill Mauer	
			Localization Liasons		
				Adriano Vasco	
				Bernard Dambron	
					
		SOE TECHNICAL OPERATIONS			
			Executive Director		
				Michael Bowen	
			Project Management		
				Cameron Enfinger	
				Krista Benson	
			Director of Production Systems		
				Mark Preston	
			Production System Team		
				David Corning	
				Kirk Lightfoot	
				Sid Jaffee	
				Bryan Glogowski	
				Kevin Ying	
			Director of Network Engineering		
				Dani Roisman	
			Network Engineering Team		
				Brett Hawn	
				Geoff Wade	
			Director of SOE Security		
				Bryan Blank	
			Manager of Office Operations		
				Jeff Bolaris	
			Office Operations Team		
				Loren Skeels	
				Dominico Scaduto	
				Lisa Doleshal	
				Felicity Santo	
			Manager of Operations		
				Jeremy Johnson	
			Operations Team Senior Lead		
				David Prestin	
			Operations Team Leads		
				Stephen Davis	
				Thomas Delzer	
				Rob Matzker	
			Operations Team		
				Eric Flynn	
				Anthony Gervais	
				Robert Maul	
				Chris Richard	
				Roger Sewell	
				Chris Trichel	
				Ben Cole	
				Jesus Zarazosa	
				Ben Cohee	
				Cory Wynn	
			Manager of Operational Engineering		
				Wilson Yeung	
			Operational Engineering Developers		
				David Taylor	
				Greg Herzbrun	
				Chad Folz	
				Ted Garrington	
				Timothy Arland	
				Gordon Tetlow	
				Matthew Reynolds	
				Ogi Boras	
				William Kemper	
					
		EXECUTIVE MANAGEMENT			
			Chairman of the Board		
				Yair Landau	
			President		
				John Smedley	
			Chief Operations Officer		
				Russell Shanks	
			Chief Creative Officer		
				Raph Koster	
			Chief Financial Officer		
				John Needham	
			Chief Technology Officer		
				Adam Joffe	
			Senior Vice President and General Counsel		
				Andy Zaffron	
			Vice President, Studio Manager - Austin		
				John Blakely	
					
	LucasArts				
			Producer		
				Julio Torres	
			Consulting Producer		
				Haden Blackman	
			Localization Producer		
				Hiromi Okamoto	
			Production Assistant		
				Cameron Suey	
					
		Quality Assurance			
			Senior Lead Tester		
				John Buzz Buzolich	
			Lead Tester		
				Tim Temmerman	
			Assistant Lead Testers		
				Bertrand Estrellado	
				Sean Thomson	
			Testers		
				Jonathan Kwong	
				Bob McGehee	
				Bradley Johnson	
				Cameron Suey	
				Edmund Shih	
				Eric Marriott	
				Gabriel Roland	
				Ian P. Riutta	
				James Billings	
				Jay Tye	
				Jennifer Emsley	
				Kevin Au Young	
				Paul Riggs	
				Ryan Jones	
				Tom Toom Drake	
				Sony Green	
				Steve Braman	
				Hugh Moore	
				Corle Huffman	
				Gilberto Gutierrez	
			Compatibility Supervisor and Lead Technical Writer		
				Lynn Taylor	
			Compatibility Technicians		
				Brian G. Deksnys	
				Dan Martinez	
				Isaiah Webb	
				John Shields	
				Kim Jardin	
				Lester Siat	
			QA Computer Technician		
				John Carsey	
			Manager of Quality Services		
				Paul Purdy	
			Supervisor of Quality Services		
				Chuck McFadden	
					
		Product Support			
			Supervisor		
				Jay Geraci	
					
		Voice, Sound and Music			
			Audio and International Manager		
				Darragh O'Farrell	
			Lead Sound Designer		
				Todd Davies	
					
					Original Star Wars music composed by John Williams (P) and © Lucasfilm Ltd. & TM. 
					All rights reserved. Used under authorization. Published by Bantha Music (BMI).
					Administered by and/or co-published with Warner-Tamerlane Music Publishing Corp.
					
			Music Arranging and editing		
				Jesse Harlin	
			Music Composer		
				Anna Karney	
					
		Public Relations and Marketing			
			Director of Public Relations		
				Anne Marie Stein	
			Public Relations Specialist		
				Ronda Scott	
			Director of Marketing		
				Don Mesa	
			Internet Marketing		
				Jim Passalacqua	
			Marketing Assistant		
				Julie Moretti	
					
			IT Services		
				Victor Tancredi- Balugera	
				Greg Millies	
				Melanie Jacobson	
				Brendan Lloyd	
				John Von Eichorn	
			Manual Editor		
				Matthew Keast	
				Ken Balough	
			Manual Writer		
				Haden Blackman	
				Cinco Barnes	
				John Buzolich	
			Senior Designer		
				Patty Hill	
			Production Designer		
				Eva Cohen	
			Packaging Design		
				Eyzenberg	
					
		Sales and Operations			
			Sales Coordinator		
				Mike Maguire	
			Sales Analyst		
				Greg Robles	
			Director of Sales Operations		
				Jason Horstman	
			Materials Manager		
				Evelyne Bolling	
			Mail Services		
				Gabriel McDonald	
				Kevin Song	
			Facilities		
				Sandi Manesis	
				John Knowles	
				Paul Jennings	
				Catherine Durand	
					
			Lucasfilm Licensing		
				Stacy Cheregotis	
				Chris Gollaher	
				Kristi Kaufman	
				Leland Chee	
				Bijani Mizell	
				Jennie Nuccio	
					
			Special Thanks		
				Jim Ward	
				Peter Hirschmann	
				Kevin Weston	
				Mark Barbolak	
				Anne Marie Hawkins 	
				Atsuko Matsumoto	
				Mike Gallo	
				Andy Alamano	
				Tom McCarthy	
				Paul Pierce	
				Seth Steinberg	
				Peggy Ary	
				Mette Adams	
				Matt Urban	
				Tim Temmerman	
				Scott Taylor	
				SPI of London	
				Peter Whiteside	
				Brett Tosti	
				Jannett Shirley-Paul	
				Mary Carter	
				Ryan Bond	
				Nick Eberle	
				Erin Haver	
				Gina Buzolich	
					
			Very Special Thanks		
				George Lucas	
					
					Uses Miles Sound System. Copyright © 1991-2000 by RAD Game Tools, Inc. MPEG Layer-3 playback supplied with the Miles Sound
					System from RAD Game Tools, Inc. MPEG Layer-3 audio compression technology licensed by Fraunhofer IIS and THOMPSON multimedia.
					Miles 3D Realistic Sound Experience (RSX) Software Copyright © 1997-1999 by Intel Corporation and RAD Game Tools, Inc.
					Portions of this software are Copyright 1998-2001 Criterion Software Ltd. and its licensors.
					Portions of this software are libpng version 1.2.5 - October 3, 2002. © 1998-2002 Glenn Randers-Pehrson.
					Regular expression support is provided by the PCRE library package, which is open source software, written by Philip Hazel, and copyright by the University of Cambridge, England. © 1997-2001 University of Cambridge.
					ftp://ftp.csx.cam.ac.uk/pub/software/programming/pcre/
					
					“ACTIVATE THE DROIDS”
					(John Williams)
					© 2000 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved.  Used By Permission.
					
					“SWIMMING TO OTOH GUNGA”
					(John Williams)
					© 2000 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved.  Used By Permission.
					
					“DARTH SIDIOUS AND DARTH MAUL”
					(John Williams)
					© 2000 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved.  Used By Permission.
					
					“THE IMPERIAL MARCH (DARTH VADER’S THEME)”
					(John Williams)
					© 1993 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved.  Used By Permission.
					
					“THE ASTEROID FIELD”
					(John Williams)
					© 1993 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved.  Used By Permission.
					
					“THE RETURN OF THE JEDI (ALTERNATE)”
					(John Williams)
					© 1993 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved.  Used By Permission.
					
					“THE IMPERIAL MARCH (DARTH VADER’S THEME)”
					(John Williams)
					© 1993 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved.  Used By Permission.
					
					“INTO THE TRAP”
					(John Williams)
					© 1993 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved.  Used By Permission.
					
					“JAR JAR LEADS GROUP TO THE GUNGANS”
					(John Williams)
					© 2000 (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“LANDO’S PALACE”
					(John Williams)
					© 1993 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“THE QUEEN AND GROUP LAND ON NABOO”
					(John Williams)
					© 2000 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“THE DESERT/THE ROBOT AUCTION”
					(John Williams)
					© 1993 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“THE MOISTURE FARM”
					(John Williams)
					© 1997 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“THE DROID INVASION”
					(John Williams)
					© 2000 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“ANAKIN AND GROUP TO CORUSCANT”
					(John Williams)
					© 2000 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“JANGO’S ESCAPE”
					(John Williams)
					© 2002 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“ON THE CONVEYOR BELT”
					 (John Williams)
					© 2002 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“LOVE PLEDGE AND THE ARENA”
					(John Williams)
					© 2002 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“DARTH SIDIOUS”
					(John Williams)
					© 2000 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“DEAL WITH THE DARK LORD”
					(John Williams)
					© 1997 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“ARRIVAL AT TATOOINE”
					(John Williams)
					© 2000 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“QUI-GON’S MISSION/OBI-WAN’S WARNING”
					(John Williams)
					© 2000 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used by Permission.
					
					“QUEEN AMIDALA WARNS THE FEDERATION”
					(John Williams)
					© 2000 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used by Permission.
					
					“ANAKIN IS FREE”
					(John Williams)
					© 2000 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“DEPARTING CORUSCANT”
					(John Williams)
					© 2002 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“THE RACER ROARS TO LIFE/ANAKIN’S MIDI-CHLORIAN COUNT”
					(John Williams)
					© 2000 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“THE MEADOW PICNIC”
					(John Williams)
					© 2002 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“LUKE CONFRONTS JABBA/THE DEN OF RANCOR/SARLACC SENTENCE”
					(John Williams)
					© 1997 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used by Permission.
					
					“WAR PLANS”
					(John Williams)
					© 2000 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“FUNERAL OF QUI-GON”
					(John Williams)
					© 2000 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“FIGHTING THE GUARDS”
					(John Williams)
					© 2000 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“YODA AND THE YOUNGLINGS”
					(John Williams)
					© 2002 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“ANAKIN AND PADME”
					(John Williams)
					© 2002 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“AUGIE’S GREAT MUNICIPAL BAND”
					(John Williams)
					© 1999 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“VICTORY CELEBRATION/END TITLE”
					(John Williams)
					© 1997 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“LEIA BREAKS THE NEWS/FUNERAL PYRE FOR A JEDI”
					(John Williams)
					© 1993 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used By Permission.
					
					“HAN SOLO AND THE PRINCESS”
					(John Williams)
					© 1993 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used by Permission.
					
					“LUKE AND LEIA”
					(John Williams)
					© 1993 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used by Permission.
					
					“TALK OF PODRACING”
					(John Williams)
					© 2000 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used by Permission.
					
					“JABBA’S BAROQUE RECITAL”
					(John Williams)
					© 1997 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used by Permission.
					
					“JEDI ROCKS”
					(John Williams)
					© 1997 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used by Permission.
					
					“IMPERIAL ATTACK”
					(John Williams)
					© 1993 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used by Permission.
					
					“THE EMPEROR ARRIVES”
					(John Williams)
					© 1993 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used by Permission.
					
					“THE PRINCESS APPEARS”
					(John Williams)
					© 1993 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used by Permission.
					
					“CANTINA BAND”
					(John Williams)
					© 1993 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used by Permission.
					
					“CANTINA BAND #2”
					(John Williams)
					© 1993 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used by Permission.
					
					“LAPTI NEK”
					(John Williams)
					© 1993 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used by Permission.
					
					“INSIDE THE BUBBLE CITY”
					(John Williams)
					© 2000 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used by Permission.
					
					“DRAWING THE BATTLE LINES/LEIA’S INSTRUCTIONS”
					(John Williams)
					© 1993 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used by Permission.
					
					“BOUNTY FOR A WOOKIEE”
					(John Williams)
					© 1997 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used by Permission.
					
					“THE IMPERIAL PROBE/ABOARD THE EXECUTOR”
					(John Williams)
					© 1997 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used by Permission.
					
					“ESCAPE FROM NABOO”
					(John Williams)
					© 2000 BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used by Permission.
					
					“RESCUE FROM CLOUD CITY/HYPERSPACE”
					(John Williams)
					© 1997 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used by Permission.
					
					“ATTACKING A STAR DESTROYER”
					(John Williams)
					© 1997 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used by Permission.
					
					“THE ASTEROID FIELD”
					(John Williams)
					© 1993 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used by Permission.
					
					“RESCUE OF THE PRINCESS”
					(John Williams)
					© 1993 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).
					All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI)
					All Rights Reserved. Used by Permission.
					
					LASER FIGHT
					(John Williams)
					© 1999 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI). All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI). All Rights Reserved.  Used By Permission.
					
					THE FOREST BATTLE
					(John Williams)
					© 1993 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).  All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI).  All Rights Reserved.  Used By Permission.
					
					JEDI MASTER MYNOCK
					© 1993 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).  All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI).  All Rights Reserved.  Used By Permission.
					
					ESCAPE FROM NABOO
					(John Williams)
					© 1999 WARNER-TAMERLANE PUBLISHING CORP. (BMI) & BANTHA MUSIC (BMI).  All rights administered by WARNER-TAMERLANE PUBLISHING CORP. (BMI).  All Rights Reserved.  Used By Permission.
					
					
					
					
					
STAR WARS GALAXIES: JUMP TO LIGHTSPEED					
	Sony Online Entertainment				
			Executive Producer		
				Rich Vogel	
			Senior Producer		
				Gary Gattis	
			Producer		
				J. Allen Brack	
			Technical Director		
				Jeff Grills	
			Art Director		
				Jake Rodgers	
			Associate Producer		
				Kevin O'Hara	
			JTL Lead Programmer		
				Anthony L. Sommers	
			JTL Lead Designer		
				Cinco Barnes	
			JTL Lead Artist		
				Jeff Dobson	
			Live Lead Programmer		
				Chris Mayer	
			Live Lead Designer		
				Kirk Black	
		JTL PROGRAMMING			
			Programmers		
				Matthew Bogue	
				Rick Delashmit	
				Tobias Ford	
				Eric Sebesta	
				Robert Sitton	
				Calan Thurow	
				John Wesley Watson	
					
		LIVE PROGRAMMING			
			Programmers		
				Todd Fiala	
				Michael Howard	
				Adam Hunter	
				Steve Jakab	
				Doug Mellencamp	
				Huy Nguyen	
				Justin Randall	
				Xiaofeng Ye	
			Programming Intern		
				Vijay Thakar	
					
		ART			
			Character Lead		
				Joe Shoopack	
			Lead World Artist		
				John Roy	
			Production Designer		
				Arnie Jorgensen	
					
			Artists		
				Dan Borth	
				Brad Constantine	
				Andrew Collins	
				Rob Cuenca	
				Bill Daly	
				Chris Douglas	
				Walter Lee Imes	
				Jeff Jonas	
				Will Kier	
				Rick Knox	
				Robert Kovach	
				Bernadette LaCarte	
				Jason Minor	
				Alan Pickett	
				Eric Prince	
				Damon Waldrip	
					
			Additional Art		
				Don Alexander	
				Whitney Ayres	
				Jared Carr	
				Jeremy Jiao	
				Minoh Kim	
				Devin LaFontaine	
				Drew Risch	
				Joel Thomas	
				Boston Animation	
					
		JTL DESIGN			
			Lead Systems Designer		
				Dan Rubenfield	
			Lead Content Designer		
				Jeff Freeman	
			Designers		
				Jeff Carpenter	
				Michael Farone	
				Travis Hicks	
				Eli Holding	
				Niklas Johansson	
				Janessa Johansson	
				Brandon Reinhart	
				Reece Thornton	
				Will Wallace	
			Additional Design		
				Scott Snopel	
			Writer		
				Susan O'Connor	
					
		LIVE DESIGN			
			Lead Systems Designer		
				David White	
			Lead Content Designer		
				Ben Hanson	
			Designers		
				Todd Bailey	
				Thomas Blair	
				Hollis Gray	
				Kai Steinmann	
				Pete Warner	
			Additional Design		
				Ben Norris	
				Rian Trost	
				Mark Halash	
					
			Senior Buildmaster		
				Grant McDaniel	
			Buildmaster		
				James Whisenant	
					
			Community Manager		
				Kevin O'Hara	
				Kurt Stangl	
			Assistant Community Manager		
				Diane Migliaccio	
			Community Representatives		
				Vaughn Garvin	
				Paul Williams	
				Jeremy Jiao	
				Jessica Freeman	
			Events Manager		
				Jason Ryan	
			Events Coordinator		
				Mark Halash	
					
			Administration		
				Audrey Franklin	
					
		QUALITY ASSURANCE			
			Vice President of CS & QA		
				George Scotto	
			Director of Quality Assurance		
				Tony Rado	
			Quality Assurance Supervisor		
				Rob Thompson	
			SOE Lead Quality Assurance Analyst		
				Taylor Haley	
			SOE Assistant Lead Quality Assurance Analyst		
				Vincent Pang	
			SOE Quality Assurance Analysts		
				Jesse Benjamin	
				Jason Blitz	
				Christine Chugon	
				Chris Clements	
				Bianca Diaz	
				Deborah Gates	
				Jeff Haskell	
				James Helssen	
				David Jones	
				Sam Parra	
				Annette Rogers	
				Shen Sabo	
				Kevin Shoemaker	
				Scott Snopel	
				Derek Tarvin	
				Ryan Wells	
			Compatibility Lab Lead		
				Ryan Antonelli	
			Compatibility Lab		
				Gary Binkley	
				Greg Hauser	
				Chris Johnson	
			Executive Director, Customer Service		
				Scott Mattson	
			Director, Customer Service		
				Thomas Terrazas	
			Technical Support Customer Service Manager		
				Victor Ramirez	
			Star Wars Galaxies Customer Service Manager		
				Gary Matthews	
					
		PLATFORM SERVICES			
			Vice President of Technology		
				Chris Yates	
			Director of Platform Engineering		
				David Dhunjishaw	
			Project Management		
				Wayne Kao	
				Jenne McPherson	
				Bonnie Davison	
			Manager of Applications Engineering		
				Mick Giles	
			Application Engineering Team		
				Pierce Courtney	
				Devon Kim	
				Duy Le	
				Grant Olson	
				David Keene	
				Jason Parrott	
				Michael W. Tucker II	
