component	engine	booster	weapon_0
wpn_trandoshan_fg1a			awing_weapon_s05:weapon1
wpn_vengeance_ion_cannon			awing_weapon_s05:weapon1
wpn_vulcan_cannon			awing_weapon_s05:weapon1
wpn_z95_blaster			cloakshape_weapon_s01:weapon1
wpn_heavy_ionic_pulse_weapon			awing_weapon_s06:weapon1
wpn_crafted_mining_laser_mk1			awing_weapon_s05:weapon1
wpn_crafted_mining_laser_mk2			awing_weapon_s05:weapon1
wpn_crafted_mining_laser_mk3			awing_weapon_s05:weapon1
wpn_crafted_mining_laser_elite			awing_weapon_s05:weapon1
wpn_prototype			awing_weapon_s05:weapon1
wpn_ionic_pulse_weapon			awing_weapon_s06:weapon1
wpn_reward_seinar_elite			awing_weapon_s05:weapon1
wpn_kessel_imperial_rendili_prototype_x			awing_weapon_s05:weapon1
wpn_kessel_imperial_sds_experimental_secret_ops			awing_weapon_s05:weapon1
wpn_kessel_imperial_sfs_elite_ops			awing_weapon_s05:weapon1
wpn_kessel_rebel_incom_dualcore_flashcannon			awing_weapon_s05:weapon1
wpn_kessel_rebel_riiz_combine_slammer_cannon			awing_weapon_s05:weapon1
wpn_kessel_rebel_unknown_rayslinger			awing_weapon_s05:weapon1
wpn_reward_incom_elite			awing_weapon_s05:weapon1
wpn_reward_seinar_elite			awing_weapon_s05:weapon1
wpn_reward_slayn_elite			awing_weapon_s05:weapon1
wpn_reward_subpro_elite			awing_weapon_s05:weapon1
wpn_reward_taim_elite			awing_weapon_s05:weapon1
wpn_nova_ioncannon			awing_weapon_s07:weapon1
wpn_orion_disruptor			awing_weapon_s07:weapon1
