commandName	defaultPriority	scriptHook	failScriptHook	cppHook	failCppHook	defaultTime	characterAbility	L:standing	L:sneaking	L:walking	L:running	L:kneeling	L:crouchSneaking	L:crouchWalking	L:prone	L:crawling	L:climbingStationary	L:climbing	L:hovering	L:flying	L:lyingDown	L:sitting	L:skillAnimating	L:drivingVehicle	L:ridingCreature	L:knockedDown	L:incapacitated	L:dead	L:blocking	S:cover	S:combat	S:peace	S:aiming	S:alert	S:berserk	S:feignDeath	S:combatAttitudeEvasive	S:combatAttitudeNormal	S:combatAttitudeAggressive	S:tumbling	S:rallied	S:stunned	S:blinded	S:dizzy	S:intimidated	S:immobilized	S:frozen	S:swimming	S:sittingOnChair	S:crafting	S:glowingJedi	S:maskScent	S:poisoned	S:bleeding	S:diseased	S:onFire	S:ridingMount	S:mountedCreature	S:pilotingShip	S:pilotingPobShip	S:shipOperations	S:shipGunner	S:shipInterior	tempScript	target	targetType	stringId	visible	callOnTarget	commandGroup	disabled	maxRangeToTarget	godLevel	displayGroup	addToCombatQueue	validWeapon	invalidWeapon	cooldownGroup	warmupTime	executeTime	cooldownTime	cooldownGroup2	cooldownTime2	toolbarOnly	fromServerOnly	autoAddToToolbar
editBiography	0			editBiography		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
logout	0			logout		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	0		0	0	1707421147	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
waypoint	0			waypoint		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	0		0	0	1707421147	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
wp	0			waypoint		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	0		0	0	1707421147	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
launchNpeContinuationURL	0			externalCommand		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	2		1	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
assist	0			assist		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	2		3	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
examineCharacterSheet	0			examineCharacterSheet		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	0		0	0	1707421147	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
collections	0			collections		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	2		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
findcontrollers	0			findcontrollers		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	0		0	0	1707421147	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
showBackpack	0			showBackpack		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	0		0	0	1707421147	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
showHelmet	0			showHelmet		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	0		0	0	1707421147	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
voiceInvite	0			voiceInvite		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0	0	0	0	0	1
voiceKick	0			voiceKick		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
tcg	0			tcg		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	0		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
equipAppearance	0			equipAppearance		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
unequipAppearance	0			unequipAppearance		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	1		0	0	-42661160	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
appearanceTab	0			appearanceTab		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	0		0	0	1707421147	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
chronicleQuestBuilder	0			chronicleQuestBuilder		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	0		0	0	1707421147	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
openStorytellerRecipe	0			openStorytellerRecipe		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	0		0	0	1707421147	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
gcwInfo	0			gcwInfo		0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1		2	0		0	0	1707421147	0	0	0	1707421147	0	536870912	0		0	0	0		0	0	0	1
