Name	Description	Planet	Appearance	X	Y	Z
@clientpoi_n:dead_mysess	@clientpoi_d:dead_mysess	kashyyyk_dead_forest		-71	39	111
@clientpoi_n:dead_grave	@clientpoi_d:dead_grave	kashyyyk_dead_forest		54	38	168
@clientpoi_n:dead_web	@clientpoi_d:dead_web	kashyyyk_dead_forest		217	1	288
@clientpoi_n:dead_entrance_dead	@clientpoi_d:dead_entrance_dead	kashyyyk_dead_forest		112	25	-351
@clientpoi_n:dead_entrance_kkowir	@clientpoi_d:dead_entrance_kkowir	kashyyyk_dead_forest		83	26	-444
@clientpoi_n:dead_kerritamba	@clientpoi_d:dead_kerritamba	kashyyyk_dead_forest		-159	34	-139
@clientpoi_n:dead_arena	@clientpoi_d:dead_arena	kashyyyk_dead_forest		-290	28	-184
@clientpoi_n:dead_myyydril	@clientpoi_d:dead_myyydril	kashyyyk_dead_forest		-247	38	327
@clientpoi_n:dead_abandon	@clientpoi_d:dead_abandon	kashyyyk_dead_forest		-296	23	-390
@clientpoi_n:volcano_crash	@clientpoi_d:volcano_crash	mustafar		-2685	141	3265
@clientpoi_n:new_mining_facility	@clientpoi_d:new_mining_facility	mustafar		-2525	224	1655
@clientpoi_n:old_mining_facility	@clientpoi_d:old_mining_facility	mustafar		-1850	211	820
@clientpoi_n:striking_mining_camp	@clientpoi_d:striking_mining_camp	mustafar		-5335	291	4430
@clientpoi_n:old_republic_research	@clientpoi_d:old_republic_research	mustafar		-770	87	6080
@clientpoi_n:burning_plains	@clientpoi_d:burning_plains	mustafar		-3230	18	5317
@clientpoi_n:crystal_flats	@clientpoi_d:crystal_flats	mustafar		-4716	300	1515
@clientpoi_n:berkens_flow	@clientpoi_d:berkens_flow	mustafar		-528	59	4268
@clientpoi_n:mining_fields	@clientpoi_d:mining_fields	mustafar		-2226	134	559
@clientpoi_n:tulrus_isle	@clientpoi_d:tulrus_isle	mustafar		-1735	105	3621
@clientpoi_n:central_volcano	@clientpoi_d:central_volcano	mustafar		-3429	378	3749
@clientpoi_n:smoking_forest	@clientpoi_d:smoking_forest	mustafar		-5166	246	4723
@clientpoi_n:ord_station	@clientpoi_d:ord_station	space_ord_mantell		0	0	0
@clientpoi_n:emergence	@clientpoi_d:emergence	space_ord_mantell		663	-1002	2039
@clientpoi_n:mining	@clientpoi_d:mining	space_ord_mantell		3267	-2475	-3078
@clientpoi_n:eclipse	@clientpoi_d:eclipse	space_ord_mantell		-3250	3347	-1065
@clientpoi_n:blackguard	@clientpoi_d:blackguard	space_nova_orion		-7000	-7000	7000
