Weapon	Muzzle Appearance	Hue Muzzle Effect	Muzzle Sound	Muzzle Sound Pitch	Bolt Appearance	Hue Bolt	Hit Target Appearance	Hue Hit	Miss Target Appearance	Hue Miss	Ricochet Appearance	Hue Ricochet	Hit Target Sound	Hit Target Sound Pitch	Hit Nothing Sound	Hit Nothing Sound Pitch	Hit Ricochet Sound	Hit Ricochet Sound Pitch	Hit Effect Scale	Add Damage Base Hit Effect	Add Damage Elemental Hit Effect
shared_rifle_bowcaster_medium.iff	appearance/pt_bls_1_green_muz_flash_01.prt	1	sound/wep_rifle_bowcaster.snd	1	appearance/pt_bolt_green.prt	1	appearance/pt_wp_hit_mode1.prt	1		0	appearance/pt_blast_deflect.prt	1	sound/wep_lt_blaster_hit_flesh.snd	0		0		0	1	1	1
shared_rifle_cdef.iff	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_rifle_blaster_cdef.snd	0	appearance/pt_wp_bolt_rifle.prt	1		1		0		0		0		0		0	1	1	1
shared_rifle_dc15.iff	appearance/pt_bls_1_blue_muz_flash_01.prt	0	sound/wep_rifle_clone_trooper.snd	0	appearance/pt_bolt_blue.prt	0	appearance/pt_bls_1_blue_hit_creature_01.prt	0	appearance/pt_bls_1_blue_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_lt_blaster_hit_flesh.snd	0		0		0	1	1	0
shared_rifle_dlt20.iff	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_rifle_blaster_dlt20.snd	0	appearance/pt_wp_bolt_rifle.prt	1		1		0		0		0		0		0	1	1	1
shared_rifle_dlt20a.iff	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_rifle_blaster_dlt20a.snd	0	appearance/pt_wp_bolt_rifle.prt	1		1		0		0		0		0		0	1	1	1
shared_rifle_e11.iff	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_rifle_blaster_e11.snd	0	appearance/pt_wp_bolt_rifle.prt	1		1		0		0		0		0		0	1	1	1
shared_rifle_flame_thrower.iff		0	sound/wep_shoulder_launch.snd	0	appearance/pt_bolt_fireball.prt	0	appearance/pt_mine_explosion.prt	0	appearance/pt_mine_explosion.prt	0	appearance/pt_mine_explosion.prt	0	sound/exp_large_generic.snd	0		0		0	1	1	1
shared_rifle_geo_drill.iff	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_rifle_geo_drill.snd	0	appearance/pt_wp_bolt_rifle.prt	1		1		0		0		0		0		0	1	1	1
shared_rifle_jawa_ion.iff	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_rifle_blaster_ionization_jawa.snd	0	appearance/pt_wp_bolt_rifle.prt	1		1		0		0		0		0		0	1	1	1
shared_rifle_kamino_saberdart.iff	appearance/pt_slg_1_muz_flash_01.prt	0	sound/wep_kamino_saberdart_gun.snd	0	appearance/pt_bolt_flechette.prt	0	appearance/pt_slg_1_hit_creature.prt	0	appearance/pt_wp_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_projectile_hit_flesh.snd	0		0		0	1	1	1
shared_rifle_laser.iff	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_rifle_blaster_laser_rifle.snd	0	appearance/pt_wp_bolt_rifle.prt	1		1		0		0		0		0		0	1	1	1
shared_rifle_laser_light.iff	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_rifle_blaster_laser_rifle.snd	0	appearance/pt_wp_bolt_rifle.prt	1		1		0		0		0		0		0	1	1	1
shared_rifle_ld1.iff	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_rifle_ld1.snd	0	appearance/pt_wp_bolt_rifle.prt	1		1		0		0		0		0		0	1	1	1
shared_rifle_lightning.iff	appearance/pt_bls_1_blue_muz_flash_01.prt	0	sound/wep_lightning_rifle_fire.snd	0	appearance/pt_light_lightning_cannon.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	sound/wep_lightning_rifle_hit.snd	0		0		0	1	1	1
shared_rifle_lightning_light.iff	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_rifle_lightning.snd	0	appearance/pt_wp_bolt_rifle.prt	1		1		0		0		0		0		0	1	1	1
shared_rifle_massassi_ink.iff	appearance/pt_bolt_ink_fire.prt	0	sound/wep_rifle_massassi_ink.snd	0	appearance/pt_bolt_black.prt	0	appearance/pt_bolt_ink_hit.prt	0		0		0		0		0		0	1	1	1
shared_rifle_naktra_crystal.iff	appearance/pt_bls_1_green_muz_flash_01.prt	0	sound/wep_particle_cannon_fire.snd	0	appearance/pt_ball_electric_bolt_green_sm.prt	0	appearance/pt_bls_1_green_hit_creature_01.prt	0	appearance/pt_bls_1_green_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_particle_cannon_hit.snd	0		0		0	1	1	1
shared_rifle_proton.iff	appearance/pt_bls_1_blue_muz_flash_01.prt	0	sound/wep_rifle_proton.snd	0	appearance/pt_bolt_proton_rifle.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	sound/wep_lightning_rifle_hit.snd	0		0		0	1	1	0
shared_rifle_quest_rebel_longrifle.iff	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_rifle_quest_rebel_longrifle.snd	0	appearance/pt_wp_bolt_rifle.prt	1		1		0		0		0		0		0	1	1	1
shared_rifle_quest_tusken.iff	appearance/pt_slg_1_muz_flash_01.prt	0	sound/wep_projectile_rifle.snd	0	appearance/pt_bls_slug_trail.prt	0	appearance/pt_slg_1_hit_creature.prt	0	appearance/pt_wp_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_projectile_hit_flesh.snd	0		0		0	1	1	1
shared_rifle_sg82.iff	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_rifle_sonic_sg82.snd	0	appearance/pt_wp_bolt_rifle.prt	1		1		0		0		0		0		0	1	1	1
shared_rifle_spraystick.iff	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_rifle_spray_stick_stohli.snd	0	appearance/pt_wp_bolt_rifle.prt	1		1		0		0		0		0		0	1	1	1
shared_rifle_t21.iff	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_rifle_t21.snd	0	appearance/pt_wp_bolt_rifle.prt	1		1		0		0		0		0		0	1	1	1
shared_rifle_tenloss_dxr6_disruptor_loot.iff	appearance/pt_bls_1_green_muz_flash_01.prt	0	sound/wep_disruptor_rifle.snd	0	appearance/pt_bolt_disruptor.prt	0	appearance/pt_bls_1_green_hit_creature_01.prt	0	appearance/pt_bls_1_green_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_disruptor_hit_flesh.snd	0		0		0	1	1	1
shared_rifle_trando_hunter.iff	appearance/pt_slg_1_muz_flash_01.prt	0	sound/wep_rifle_trandoshan_hunters.snd	0	appearance/pt_bls_slug_trail.prt	0	appearance/pt_slg_1_hit_creature.prt	0	appearance/pt_wp_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_projectile_hit_flesh.snd	0		0		0	1	1	1
shared_rifle_tusken.iff	appearance/pt_slg_1_muz_flash_01.prt	0	sound/wep_projectile_rifle.snd	0	appearance/pt_bls_slug_trail.prt	0	appearance/pt_slg_1_hit_creature.prt	0	appearance/pt_wp_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_projectile_hit_flesh.snd	0		0		0	1	1	1
shared_rifle_victor_tusken.iff	appearance/pt_slg_1_muz_flash_01.prt	0	sound/wep_projectile_rifle.snd	0	appearance/pt_bls_slug_trail.prt	0	appearance/pt_slg_1_hit_creature.prt	0	appearance/pt_wp_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_projectile_hit_flesh.snd	0		0		0	1	1	1
shared_turret_block_large.iff	appearance/pt_bls_1_red_muz_flash_01.prt	0	sound/wep_fire_blaster.snd	0	appearance/pt_bolt_turret_red.prt	0	appearance/pt_bls_1_red_hit_creature_01.prt	0	appearance/pt_turret_0_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_hv_blaster_hit_flesh.snd	0		0		0	1	1	1
shared_turret_block_med.iff	appearance/pt_bls_1_red_muz_flash_01.prt	0	sound/wep_fire_blaster.snd	0	appearance/pt_bolt_turret_red.prt	0	appearance/pt_bls_1_red_hit_creature_01.prt	0	appearance/pt_turret_0_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_hv_blaster_hit_flesh.snd	0		0		0	1	1	1
shared_turret_block_small.iff	appearance/pt_bls_1_red_muz_flash_01.prt	0	sound/wep_fire_blaster.snd	0	appearance/pt_bolt_turret_red.prt	0	appearance/pt_bls_1_red_hit_creature_01.prt	0	appearance/pt_turret_0_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_hv_blaster_hit_flesh.snd	0		0		0	1	1	1
shared_turret_dish_large.iff	appearance/pt_bls_1_red_muz_flash_01.prt	0	sound/wep_fire_blaster.snd	0	appearance/pt_bolt_turret_red.prt	0	appearance/pt_bls_1_red_hit_creature_01.prt	0	appearance/pt_turret_0_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_hv_blaster_hit_flesh.snd	0		0		0	1	1	1
shared_turret_dish_small.iff	appearance/pt_bls_1_red_muz_flash_01.prt	0	sound/wep_fire_blaster.snd	0	appearance/pt_bolt_turret_red.prt	0	appearance/pt_bls_1_red_hit_creature_01.prt	0	appearance/pt_turret_0_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_hv_blaster_hit_flesh.snd	0		0		0	1	1	1
shared_turret_tower_large.iff	appearance/pt_bls_1_red_muz_flash_01.prt	0	sound/wep_fire_blaster.snd	0	appearance/pt_bolt_turret_red.prt	0	appearance/pt_bls_1_red_hit_creature_01.prt	0	appearance/pt_turret_0_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_hv_blaster_hit_flesh.snd	0		0		0	1	1	1
shared_turret_tower_med.iff	appearance/pt_bls_1_red_muz_flash_01.prt	0	sound/wep_fire_blaster.snd	0	appearance/pt_bolt_turret_red.prt	0	appearance/pt_bls_1_red_hit_creature_01.prt	0	appearance/pt_turret_0_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_hv_blaster_hit_flesh.snd	0		0		0	1	1	1
shared_turret_tower_small.iff	appearance/pt_bls_1_red_muz_flash_01.prt	0	sound/wep_fire_blaster.snd	0	appearance/pt_bolt_turret_red.prt	0	appearance/pt_bls_1_red_hit_creature_01.prt	0	appearance/pt_turret_0_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_hv_blaster_hit_flesh.snd	0		0		0	1	1	1
shared_tusken_rifle.iff	appearance/pt_slg_1_muz_flash_01.prt	0	sound/wep_projectile_rifle.snd	0	appearance/pt_bls_slug_trail.prt	0	appearance/pt_slg_1_hit_creature.prt	0	appearance/pt_wp_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_projectile_hit_flesh.snd	0		0		0	1	1	1
shared_vehicle_atst_ranged.iff	appearance/pt_bls_1_red_muz_flash_01.prt	0	sound/wep_fire_blaster.snd	0	appearance/pt_bolt_turret_red.prt	0	appearance/pt_bls_1_red_hit_creature_01.prt	0	appearance/pt_turret_0_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_hv_blaster_hit_flesh.snd	0		0		0	1	1	1
shared_rifle_odararissl.iff	appearance/pt_bls_1_blue_muz_flash_01.prt	1	sound/wep_rifle_proton.snd	0	appearance/pt_bolt_blue.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	sound/wep_lightning_rifle_hit.snd	0		0		0	1	1	0
shared_ep3_loot_blackhand.iff	appearance/pt_bls_1_green_muz_flash_01.prt	1	sound/wep_pistol_blaster_cdef.snd	0	appearance/pt_bolt_green.prt	1	appearance/pt_bls_1_green_hit_creature_01.prt	1	appearance/pt_bls_1_green_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_lt_blaster_hit_flesh.snd	0		0		0	1	1	1
shared_ep3_loot_blackfalcon.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_blaster_dl44.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_ep3_loot_calibrated.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_launcher.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_ep3_loot_deathrain.iff	appearance/pt_slg_1_muz_flash_01.prt	0	sound/wep_projectile_rifle.snd	0	appearance/pt_bolt_scatter.prt	0	appearance/pt_bls_1_red_hit_creature_01.prt	0	appearance/pt_slg_1_hit_other_01.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_hv_blaster_hit_flesh.snd	0		0		0	1	1	1
shared_ep3_loot_dragoneye.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_renegade.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_ep3_loot_hydra.iff	appearance/pt_slg_1_muz_flash_01.prt	0	sound/wep_projectile_rifle.snd	0	appearance/pt_bls_slug_trail.prt	0	appearance/pt_slg_1_hit_creature.prt	0	appearance/pt_wp_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_projectile_hit_flesh.snd	0		0		0	1	1	1
shared_ep3_loot_liquidsilver.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_flechette_fwg5_quest.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_ep3_loot_quicktrigger.iff	appearance/pt_bls_1_blue_muz_flash_01.prt	0	sound/wep_lightning_rifle_fire.snd	0	appearance/pt_lightning_cannon.ltn	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	sound/wep_lightning_rifle_hit.snd	0		0		0	1	1	1
shared_ep3_loot_rhiss.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_deathhammer_needle.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_ep3_loot_silencer.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_intimidator.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_ep3_loot_sharpshooter.iff	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_rifle_blaster_laser_rifle.snd	0	appearance/pt_wp_bolt_rifle.prt	1		1		0		0		0		0		0	1	1	1
shared_ep3_loot_retaliation.iff	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_rifle_adventurer_hv_sniper.snd	0	appearance/pt_wp_bolt_rifle.prt	1		1		0		0		0		0		0	1	1	1
shared_ep3_loot_nullifier.iff	appearance/pt_slg_1_muz_flash_01.prt	0	sound/wep_projectile_rifle.snd	0	appearance/pt_bolt_flechette.prt	0	appearance/pt_slg_1_hit_creature.prt	0	appearance/pt_wp_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_projectile_hit_flesh.snd	0		0		0	1	1	1
shared_ep3_loot_dawnsorrow.iff	appearance/pt_bls_1_green_muz_flash_01.prt	0	sound/wep_particle_cannon_fire.snd	0	appearance/pt_ball_electric_bolt_green_sm.prt	0	appearance/pt_bls_1_green_hit_creature_01.prt	0	appearance/pt_bls_1_green_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_particle_cannon_hit.snd	0		0		0	1	1	1
shared_ep3_loot_darksting.iff	appearance/pt_slg_1_muz_flash_01.prt	0	sound/wep_projectile_rifle.snd	0	appearance/pt_bls_slug_trail.prt	0	appearance/pt_slg_1_hit_creature.prt	0	appearance/pt_wp_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_projectile_hit_flesh.snd	0		0		0	1	1	1
shared_ep3_loot_rilctur.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_carbine_alliance_needler.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_ep3_loot_retribution.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_rifle_light_blaster_imperial_scout_carbine.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_ep3_loot_mark.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_rifle_light_blaster_ee3.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_ep3_loot_grievance.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_carbine_e5.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_ep3_loot_firestar.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_carbine_czerka_dart.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_ep3_loot_corestrike.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_carbine_nym_slugthrower.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_ep3_loot_void.iff		0	sound/wep_shoulder_launch.snd	0	appearance/pt_rocket_trail_black_smoke.prt	0	appearance/pt_mine_explosion.prt	0	appearance/pt_mine_explosion.prt	0	appearance/pt_blast_deflect.prt	0	sound/exp_large_generic.snd	0		0		0	1	1	1
shared_ep3_loot_corellian.iff	appearance/pt_bls_1_blue_muz_flash_01.prt	0	sound/wep_lightning_rifle_fire.snd	0	appearance/pt_lightning_cannon.ltn	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	sound/wep_lightning_rifle_hit.snd	0		0		0	1	1	1
shared_carbine_avatar_trando.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_rifle_disrupter_dxr6.snd	0	appearance/pt_bolt_blue.prt	1		1		0		0		0		0		0	1	1	1
shared_heavy_avatar_acid_beam.iff	appearance/pt_bls_1_green_muz_flash_01.prt	0	sound/wep_quest_heavy_acid_beam.snd	0	appearance/pt_acidfield_bolt.prt	0	appearance/pt_bls_1_green_hit_creature_01.prt	0	appearance/pt_bls_1_green_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_heavy_acid_launcher_hit.snd	0		0		0	1	1	1
shared_pistol_avatar_trando_special.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_blaster_dl44_metal.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_rifle_lightning_heavy.iff	appearance/pt_bls_1_blue_muz_flash_01.prt	0	sound/wep_lightning_rifle_fire.snd	0	appearance/pt_light_lightning_cannon.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	sound/wep_lightning_rifle_hit.snd	0		0		0	1	1	1
shared_pistol_cdef_npe.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_blaster_cdef.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_cdef_npe.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_carbine_blaster_cdef.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_rifle_cdef_npe.iff	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_rifle_blaster_cdef.snd	0	appearance/pt_wp_bolt_rifle.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_d18_npe.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_blaster_d18.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_dh17_black_npe.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_rifle_light_blaster_dh17_carbine_black.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_rifle_dlt20_npe.iff	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_rifle_blaster_dlt20.snd	0	appearance/pt_wp_bolt_rifle.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_scout_blaster_npe.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_blaster_scout_trooper.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_rifle_sg82_npe.iff	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_rifle_sonic_sg82.snd	0	appearance/pt_wp_bolt_rifle.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_dh17_snubnose_npe.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_rifle_light_blaster_dh17_carbine_snubnose.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_rifle_lightning_heavy_static.iff	appearance/pt_bls_1_blue_muz_flash_01.prt	0	sound/wep_lightning_rifle_fire.snd	0	appearance/pt_light_lightning_cannon.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	sound/wep_lightning_rifle_hit.snd	0		0		0	1	1	1
shared_heavy_acid_beam_static.iff	appearance/pt_bls_1_green_muz_flash_01.prt	0	sound/wep_quest_heavy_acid_beam.snd	0	appearance/pt_acidfield_bolt.prt	0	appearance/pt_bls_1_green_hit_creature_01.prt	0	appearance/pt_bls_1_green_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_heavy_acid_launcher_hit.snd	0		0		0	1	1	1
shared_pistol_scout_blaster_static.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_blaster_scout_trooper.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_laser_static.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_rifle_light_blaster_laser_carbine.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_e11_static.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_rifle_light_blaster_e11_carbine.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_pistol_striker_static.iff	appearance/pt_slg_1_muz_flash_01.prt	0	sound/wep_projectile_rifle.snd	0	appearance/pt_bls_slug_trail.prt	0	appearance/pt_slg_1_hit_creature.prt	0	appearance/pt_wp_miss_terrain.prt	0	appearance/pt_blast_deflect.prt	0	sound/wep_projectile_hit_flesh.snd	0		0		0	1	1	1
shared_carbine_ee3_static.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_rifle_light_blaster_ee3.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_heavy_lightning_beam_static.iff	appearance/pt_bls_1_blue_muz_flash_01.prt	0	sound/wep_lightning_rifle_fire.snd	0	appearance/pt_lightning_cannon.ltn	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	appearance/pt_bls_1_blue_hit_other_01.prt	0	sound/wep_lightning_rifle_hit.snd	0		0		0	1	1	1
shared_pistol_dl44_metal_static.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_pistol_blaster_dl44_metal.snd	0	appearance/pt_wp_bolt_pistol.prt	1		1		0		0		0		0		0	1	1	1
shared_som_carbine_republic_sfor.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_blaster_som_carbine_republic_sfor.snd	0	appearance/pt_bolt_proton_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_som_disruptor_pistol.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_blaster_som_disruptor_pistol.snd	1	appearance/pt_bolt_disruptor.prt	1		1		0		0		0		0		0	1	1	1
shared_som_ion_relic_pistol.iff	appearance/pt_wp_muzzle_pistol.prt	0	sound/wep_blaster_som_ion_relic_pistol.snd	0	appearance/pt_bolt_ion_blaster.prt	0		0		0		0		0		0		0	1	1	1
shared_som_lava_cannon.iff		0	sound/wep_quest_heavy_particle_beam.snd	0	appearance/pt_lavafield_bolt.prt	0		0		0		0		0		0		0	1	1	1
shared_som_republic_flamer.iff		0	sound/wep_shoulder_launch.snd	0	appearance/pt_beam_flame_thrower_blue.prt	0	appearance/pt_mine_explosion.prt	0	appearance/pt_mine_explosion.prt	0	appearance/pt_mine_explosion.prt	0	sound/exp_large_generic.snd	0		0		0	1	1	1
shared_som_rifle_dp23.iff	appearance/pt_wp_muzzle_rifle.prt	0	sound/wep_blaster_som_som_rifle_dp23.snd	0	appearance/pt_bolt_ion_blaster.prt	0		0		0		0		0		0		0	1	1	1
shared_som_rifle_mustafar_disruptor.iff	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_blaster_som_rifle_mustafar_disruptor.snd	1	appearance/pt_bolt_disruptor.prt	1		1		0		0		0		0		0	1	1	1
shared_som_carbine_republic_sfor_generic.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_blaster_som_carbine_republic_sfor.snd	0	appearance/pt_bolt_proton_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_som_disruptor_pistol_generic.iff	appearance/pt_wp_muzzle_pistol.prt	1	sound/wep_blaster_som_disruptor_pistol.snd	1	appearance/pt_bolt_disruptor.prt	1		1		0		0		0		0		0	1	1	1
shared_som_ion_relic_pistol_generic.iff	appearance/pt_wp_muzzle_pistol.prt	0	sound/wep_blaster_som_ion_relic_pistol.snd	0	appearance/pt_bolt_ion_blaster.prt	0		0		0		0		0		0		0	1	1	1
shared_som_lava_cannon_generic.iff		0	sound/wep_quest_heavy_particle_beam.snd	0	appearance/pt_lavafield_bolt.prt	0		0		0		0		0		0		0	1	1	1
shared_som_republic_flamer_generic.iff		0	sound/wep_shoulder_launch.snd	0	appearance/pt_beam_flame_thrower_blue.prt	0	appearance/pt_mine_explosion.prt	0	appearance/pt_mine_explosion.prt	0	appearance/pt_mine_explosion.prt	0	sound/exp_large_generic.snd	0		0		0	1	1	1
shared_som_rifle_dp23_generic.iff	appearance/pt_wp_muzzle_rifle.prt	0	sound/wep_blaster_som_som_rifle_dp23.snd	0	appearance/pt_bolt_ion_blaster.prt	0		0		0		0		0		0		0	1	1	1
shared_som_rifle_mustafar_disruptor_generic.iff	appearance/pt_wp_muzzle_rifle.prt	1	sound/wep_blaster_som_rifle_mustafar_disruptor.snd	1	appearance/pt_bolt_disruptor.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_bothan_bola_generic.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_carbine_bothan_bola.snd	0	appearance/pt_bolt_bothan_bola.prt	0		0		0		0		0		0		0	1	1	1
shared_carbine_e5_generic.iff	appearance/pt_wp_muzzle_carbine.prt	1	sound/wep_carbine_e5.snd	0	appearance/pt_wp_bolt_carbine.prt	1		1		0		0		0		0		0	1	1	1
shared_carbine_geo_generic.iff	appearance/pt_wp_muzzle_carbine.prt	0	sound/wep_carbine_geo.snd	0	appearance/pt_bug_gun_bolt.prt	0		0		0		0		0		0		0	1	1	0
